,x,y
M_1_1_,9044,30366
M_1_2_,8619,29942
M_1_3_,8195,29518
M_1_4_,7771,29093
M_1_5_,7347,28669
M_1_6_,6922,28245
M_2_1_,8677,31426
M_2_2_,8253,31002
M_2_3_,7829,30578
M_2_4_,7405,30154
M_2_5_,6981,29730
M_2_6_,6557,29306
M_2_7_,6133,28882
M_3_1_,8312,32253
M_3_2_,7887,31829
M_3_3_,7463,31405
M_3_4_,7039,30980
M_3_5_,6615,30556
M_3_6_,6190,30132
M_3_7_,5766,29708
M_3_8_,5342,29283
M_4_1_,7928,33161
M_4_2_,7501,32737
M_4_3_,7076,32313
M_4_4_,6652,31888
M_4_5_,6228,31464
M_4_6_,5804,31040
M_4_7_,5379,30616
M_4_8_,4955,30191
M_4_9_,4531,29767
M_5_1_,7296,33848
M_5_2_,6872,33424
M_5_3_,6448,33000
M_5_4_,6023,32575
M_5_5_,5599,32151
M_5_6_,5175,31727
M_5_7_,4751,31303
M_5_8_,4326,30878
M_5_9_,3902,30454
M_5_10_,3478,30030
N_1_1_,6570,26063
N_1_2_,6570,25463
N_1_3_,6570,24863
N_1_4_,6570,24263
N_1_5_,6570,23663
N_1_6_,6570,23063
N_1_7_,6570,22463
N_1_8_,6570,21863
N_1_9_,6570,21263
N_1_10_,6570,20663
N_2_1_,5570,26063
N_2_2_,5570,25463
N_2_3_,5570,24863
N_2_4_,5570,24263
N_2_5_,5570,23663
N_2_6_,5570,23063
N_2_7_,5570,22463
N_2_8_,5570,21863
N_2_9_,5570,21263
N_2_10_,5570,20663
N_3_1_,4670,26663
N_3_2_,4670,26063
N_3_3_,4670,25463
N_3_4_,4670,24863
N_3_5_,4670,24263
N_3_6_,4670,23663
N_3_7_,4670,23063
N_3_8_,4670,22463
N_3_9_,4670,21863
N_3_10_,4670,21263
N_3_11_,4670,20663
N_4_1_,3770,27263
N_4_2_,3770,26663
N_4_3_,3770,26063
N_4_4_,3770,25463
N_4_5_,3770,24863
N_4_6_,3770,24263
N_4_7_,3770,23663
N_4_8_,3770,23063
N_4_9_,3770,22463
N_4_10_,3770,21863
N_4_11_,3770,21263
N_4_12_,3770,20663
N_5_1_,2870,27263
N_5_2_,2870,26663
N_5_3_,2870,26063
N_5_4_,2870,25463
N_5_5_,2870,24863
N_5_6_,2870,24263
N_5_7_,2870,23663
N_5_8_,2870,23063
N_5_9_,2870,22463
N_5_10_,2870,21863
N_5_11_,2870,21263
N_5_12_,2870,20663
