,x,y
K_2_15,22481,33058
K_2_16,21881,33058
K_2_17,21281,33058
K_2_18,20681,33058
K_2_19,20081,33058
K_2_20,19481,33058
K_3_1,31481,34560
K_3_2,30881,34560
K_3_3,30281,34560
K_3_4,29681,34560
K_3_5,29081,34560
K_3_6,28481,34560
K_3_7,27881,34560
K_3_8,27281,34560
K_3_9,26681,34560
K_3_10,26081,34560
K_3_11,25481,34560
K_3_12,24881,34560
K_3_13,24281,34560
K_3_14,23681,34560
K_3_15,23081,34560
K_3_16,22481,34560
K_3_17,21881,34560
K_3_18,21281,34560
K_3_19,20681,34560
K_3_20,20081,34560
K_3_21,19481,34560
K_3_22,18881,34560
L_1_1,15107,30852
L_1_2,14507,30852
L_1_3,13907,30852
L_1_4,13307,30852
L_1_5,12707,30852
L_1_6,12107,30852
L_1_7,11507,30852
L_2_1,15107,31852
L_2_2,14507,31852
L_2_3,13907,31852
L_2_4,13307,31852
L_2_5,12707,31852
L_2_6,12107,31852
L_2_7,11507,31852
L_2_8,10907,31852
L_3_1,15107,32752
L_3_2,14507,32752
L_3_3,13907,32752
L_3_4,13307,32752
L_3_5,12707,32752
L_3_6,12107,32752
L_3_7,11507,32752
L_3_8,10907,32752
L_3_9,10307,32752
L_4_1,15107,33654
L_4_2,14507,33654
L_4_3,13907,33654
L_4_4,13307,33654
L_4_5,12707,33654
L_4_6,12107,33654
L_4_7,11507,33654
L_4_8,10907,33654
L_4_9,10307,33654
L_5_1,16307,34552
L_5_2,15707,34552
L_5_3,15107,34552
L_5_4,14507,34552
L_5_5,13907,34552
L_5_6,13307,34552
L_5_7,12707,34552
L_5_8,12107,34552
L_5_9,11507,34552
L_5_10,10907,34552
L_5_11,10307,34552
L_5_12,9707,34552
M_1_1,9044,30366
M_1_2,8619,29942
M_1_3,8195,29518
M_1_4,7771,29093
M_1_5,7347,28669
M_1_6,6922,28245
M_2_1,8677,31426
M_2_2,8253,31002
M_2_3,7829,30578
M_2_4,7405,30154
M_2_5,6981,29730
M_2_6,6557,29306
M_2_7,6133,28882
M_3_1,8312,32253
M_3_2,7887,31829
M_3_3,7463,31405
M_3_4,7039,30980
M_3_5,6615,30556
M_3_6,6190,30132
M_3_7,5766,29708
M_3_8,5342,29283
M_4_1,7928,33161
M_4_2,7501,32737
M_4_3,7076,32313
M_4_4,6652,31888
M_4_5,6228,31464
M_4_6,5804,31040
M_4_7,5379,30616
M_4_8,4955,30191
M_4_9,4531,29767
M_5_1,7296,33848
M_5_2,6872,33424
M_5_3,6448,33000
M_5_4,6023,32575
M_5_5,5599,32151
M_5_6,5175,31727
M_5_7,4751,31303
M_5_8,4326,30878
M_5_9,3902,30454
M_5_10,3478,30030
N_1_1,6570,26063
N_1_2,6570,25463
N_1_3,6570,24863
N_1_4,6570,24263
N_1_5,6570,23663
N_1_6,6570,23063
N_1_7,6570,22463
N_1_8,6570,21863
N_1_9,6570,21263
N_1_10,6570,20663
N_2_1,5570,26063
N_2_2,5570,25463
N_2_3,5570,24863
N_2_4,5570,24263
N_2_5,5570,23663
N_2_6,5570,23063
N_2_7,5570,22463
N_2_8,5570,21863
N_2_9,5570,21263
N_2_10,5570,20663
N_3_1,4670,26663
N_3_2,4670,26063
N_3_3,4670,25463
N_3_4,4670,24863
N_3_5,4670,24263
N_3_6,4670,23663
N_3_7,4670,23063
N_3_8,4670,22463
N_3_9,4670,21863
N_3_10,4670,21263
N_3_11,4670,20663
N_4_1,3770,27263
N_4_2,3770,26663
N_4_3,3770,26063
N_4_4,3770,25463
N_4_5,3770,24863
N_4_6,3770,24263
N_4_7,3770,23663
N_4_8,3770,23063
N_4_9,3770,22463
N_4_10,3770,21863
N_4_11,3770,21263
N_4_12,3770,20663
N_5_1,2870,27263
N_5_2,2870,26663
N_5_3,2870,26063
N_5_4,2870,25463
N_5_5,2870,24863
N_5_6,2870,24263
N_5_7,2870,23663
N_5_8,2870,23063
N_5_9,2870,22463
N_5_10,2870,21863
N_5_11,2870,21263
N_5_12,2870,20663
